CIDADE,LATITUDE,LONGITUDE
Silveirânia,-21.1615,-43.2128
Silvianópolis,-22.0274,-45.8385
Simonésia,-20.1341,-42.0091
Simão Pereira,-21.964,-43.3088
Sobrália,-19.2345,-42.0998
Soledade de Minas,-22.0554,-45.0464
São Bento Abade,-21.5839,-45.0699
São Brás do Suaçuí,-20.6242,-43.9515
São Domingos das Dores,-19.5246,-42.0106
São Domingos do Prata,-19.8678,-42.971
São Francisco,-15.9514,-44.8593
São Francisco de Paula,-20.7036,-44.9838
São Francisco de Sales,-19.8611,-49.7727
São Francisco do Glória,-20.7923,-42.2673
São Félix de Minas,-18.5959,-41.4889
São Geraldo,-20.9252,-42.8364
São Geraldo da Piedade,-18.8411,-42.2867
São Geraldo do Baixio,-18.9097,-41.363
São Gonçalo do Abaeté,-18.3315,-45.8265
São Gonçalo do Pará,-19.9822,-44.8593
São Gonçalo do Rio Abaixo,-19.8221,-43.366
São Gonçalo do Rio Preto,-18.0025,-43.3854
São Gonçalo do Sapucaí,-21.8932,-45.5893
São Gotardo,-19.3087,-46.0465
São Joaquim de Bicas,-20.048,-44.2749
São José da Barra,-20.7178,-46.313
São José da Lapa,-19.6971,-43.9586
São José da Safira,-18.3243,-42.1431
São José da Varginha,-19.7006,-44.556
São José do Alegre,-22.3243,-45.5258
São José do Divino,-18.4793,-41.3907
São José do Goiabal,-19.9214,-42.7035
São José do Jacuri,-18.281,-42.6729
São José do Mantimento,-20.0058,-41.7486
São João Batista do Glória,-20.635,-46.508
São João Evangelista,-18.548,-42.7655
São João Nepomuceno,-21.5381,-43.0069
São João da Lagoa,-16.8455,-44.3507
São João da Mata,-21.928,-45.9297
São João das Missões,-14.8859,-44.0922
São João del Rei,-21.1311,-44.2526
São João do Manhuaçu,-20.3933,-42.1533
São João do Manteninha,-18.723,-41.1628
São João do Oriente,-19.3384,-42.1575
São João do Pacuí,-16.5373,-44.5134
